Proportion Ones;Fitness Mean;Fitness Standard Deviation;Selection Error
0.50036;50.036;4.948808341409067;0
0.52836;52.836;3.7439423072478015;1543
0.55112;55.112;3.252607569320345;1729
0.57324;57.324;2.9898200614752724;1608
0.59292;59.292;2.8731056367631194;1665
0.61464;61.464;2.95172898484939;1422
0.63416;63.416;3.0507284376030612;1492
0.6536;65.36;3.0643759560471695;1347
0.67276;67.276;2.8941015877124974;1466
0.69172;69.172;2.7170601759990496;1460
0.71112;71.112;2.6037388501921632;1237
0.72944;72.944;2.3539039912451813;1282
0.74576;74.576;2.3074280053774205;1045
0.76236;76.236;2.2689874393658487;1071
0.7776;77.76;2.0703622871372045;1006
0.7928;79.28;1.9229144546755064;931
0.80752;80.752;1.976485770249814;808
0.822;82.2;1.9452506265260545;795
0.83536;83.536;1.8912175972108531;791
0.8476;84.76;1.9011575421305822;716
0.86104;86.104;1.8058748572367898;676
0.8736;87.36;1.703643155123748;583
0.8854;88.54;1.5467385040788242;524
0.89612;89.612;1.50381381826342;451
0.906;90.6;1.332666499916617;431
0.91568;91.568;1.288943753621546;450
0.9256;92.56;1.2158947322856548;323
0.93412;93.412;1.1671572301965139;277
0.94224;94.224;1.178907969266473;245
0.94992;94.992;1.0506835870041957;202
0.9568;95.68;1.0166612021711046;187
0.96384;96.384;0.994255500361956;143
0.97024;97.024;0.9420318465954308;116
